,title,total,last,length
5921,"Menifee County, Kentucky",76001,6556,11505
5922,"Gatesville, Texas",75957,15591,21876
5923,"Windber, Pennsylvania",75947,4395,13295
5924,"Castle Shannon, Pennsylvania",75941,8556,12634
5925,"Suffern, New York",75916,11006,26605
5926,"Dixie County, Florida",75909,13827,17141
5927,"Swoyersville, Pennsylvania",75879,5157,9098
5928,"Riverview, Michigan",75779,13272,12889
5929,"Pittstown, New York",75767,5644,11261
5930,"La Quinta, California",75704,23694,37913
5931,"Crestwood, Missouri",75698,11863,12546
5932,"Glassport, Pennsylvania",75512,4993,9423
5933,"Cheboygan, Michigan",75456,5295,20689
5934,"Kernersville, North Carolina",75454,17126,18501
5935,"History of Hartford City, Indiana",75439,7622,91280
5936,"Lower Burrell, Pennsylvania",75426,12608,14150
5937,"Collingsworth County, Texas",75420,3206,9333
5938,"Penn Yan, New York",75418,5219,14111
5939,"Dallas, Oregon",75388,12459,17696
5940,"Burkburnett, Texas",75352,10927,11615
5941,"Canyon, Texas",75289,12875,11759
5942,"Jacksonville, Alabama",75247,8404,12778
5943,"North Elba, New York",75246,8661,11733
5944,"Princeton, West Virginia",75237,6347,28705
5945,"Darlington, South Carolina",75235,6720,20546
5946,"Bourbonnais, Illinois",75226,15256,14238
5947,"Caruthersville, Missouri",75225,6760,19464
5948,"West Carson, California",75196,20143,12493
5949,"Lake Wales, Florida",75183,10194,21971
5950,"Globe, Arizona",75182,7486,24530
5951,"Clayton, New York",75168,4817,14416
5952,"Valley City, North Dakota",75165,6826,16320
5953,"Concordia, Kansas",75146,5714,43284
5954,"Abilene, Kansas",75139,6543,39415
5955,"Teton County, Wyoming",75096,18251,20887
5956,"Beekman, New York",75063,13655,19535
5957,"Sunnyside, Washington",75048,13905,26439
5958,"Columbia County, Washington",75043,4064,12211
5959,"New Hyde Park, New York",75042,9523,16155
5960,"Waseca, Minnesota",75012,8493,16505
5961,"Winslow, Arizona",75005,9520,18513
5962,"Waldoboro, Maine",74991,4916,22767
5963,"Pulaski, Tennessee",74984,7871,11630
5964,"Harney County, Oregon",74979,7609,26334
5965,"Graham, Texas",74889,8716,25842
5966,"North Bend, Oregon",74840,9544,26822
5967,"DeRidder, Louisiana",74740,9808,19510
5968,"Marion, South Carolina",74662,7042,12422
5969,"Hartford, Wisconsin",74655,10978,21508
5970,"Miami Lakes, Florida",74596,22676,19939
5971,"Tolland, Connecticut",74552,13146,17871
5972,"Livonia, New York",74528,7286,12365
5973,"Creve Coeur, Missouri",74509,16500,21301
5974,"Brooks County, Texas",74463,7976,9276
5975,"Oswegatchie, New York",74460,4370,9372
5976,"Arroyo Grande, California",74447,15851,19129
5977,"Petoskey, Michigan",74424,6080,30837
5978,"McPherson County, South Dakota",74422,2904,11844
5979,"Apex, North Carolina",74421,20212,17682
5980,"Chatham (town), New York",74402,4249,13661
5981,"Monaca, Pennsylvania",74380,6286,18543
5982,"Hueytown, Alabama",74372,15364,24090
5983,"Schertz, Texas",74318,18694,20440
5984,"Parker, Colorado",74305,23558,23094
5985,"Castro County, Texas",74265,8285,12380
5986,"Royal Palm Beach, Florida",74161,21523,20469
5987,"Lowville, New York",74125,4548,13544
5988,"Brookfield, Missouri",74101,4769,11763
5989,"Boonville, New York",74068,4572,11018
5990,"West Fargo, North Dakota",73984,14940,48206
5991,"Etna, Pennsylvania",73956,3924,10829
5992,"Rayne, Louisiana",73929,8552,10980
5993,"Dickinson, Texas",73925,17093,16633
5994,"Marcy, New York",73923,9481,10120
5995,"Devils Lake, North Dakota",73918,7222,23413
5996,"Festus, Missouri",73885,9660,13035
5997,"Dunn, North Carolina",73874,9196,13279
5998,"Rochester, Ulster County, New York",73849,7018,10207
5999,"Bennettsville, South Carolina",73839,9425,15540
6000,"Benewah County, Idaho",73824,9171,13099
6001,"Seminole County, Georgia",73811,9369,11836
6002,"Farmington, New York",73792,10585,11618
6003,"Prescott Valley, Arizona",73789,23535,15140
6004,"Newport, Arkansas",73770,7811,11427
6005,"Oakmont, Pennsylvania",73768,6911,14975
6006,"Russellville, Kentucky",73753,7149,14243
6007,"St. Albans (town), Vermont",73747,5086,17214
6008,"Kennesaw, Georgia",73742,21675,27093
6009,"South Miami, Florida",73700,10741,40508
6010,"Marlin, Texas",73666,6628,29938
6011,"Berwick, Maine",73627,6353,17333
6012,"Chisholm, Minnesota",73592,4960,15589
6013,"River Grove, Illinois",73536,10668,12425
6014,"Rosendale, New York",73530,6352,21851
6015,"Stroudsburg, Pennsylvania",73524,5756,18428
6016,"Mexico, New York",73505,5181,15021
6017,"Ness County, Kansas",73473,3454,13561
6018,"Indianola, Mississippi",73447,12066,26144
6019,"Pratt, Kansas",73421,6570,20922
6020,"Burley, Idaho",73398,9316,17391
6021,"De Soto, Missouri",73380,6375,15190
6022,"Vienna, West Virginia",73378,10861,11009
6023,"Catskill (village), New York",73375,4392,12430
6024,"Gulfport, Florida",73303,12527,15184
6025,"Weston County, Wyoming",73292,6644,14131
6026,"Mount Rainier, Maryland",73283,8498,18302
6027,"Fayetteville, Tennessee",73240,6994,14825
6028,"Camden, New York",73215,5018,12274
6029,"Boone, North Carolina",73215,13472,21628
6030,"Orrville, Ohio",73197,8551,12561
6031,"Brown Deer, Wisconsin",73188,12170,10394
6032,"Tualatin, Oregon",73175,22791,16749
6033,"Country Club Hills, Illinois",73158,16169,14161
6034,"Doylestown, Pennsylvania",73151,8227,31954
6035,"Cuero, Texas",73151,6571,13425
6036,"La Salle County, Texas",73090,5866,12369
6037,"Graham County, Kansas",73065,2946,16634
6038,"Schley County, Georgia",73028,3766,11673
6039,"Red Bank, Tennessee",73012,12418,10152
6040,"North Mankato, Minnesota",72960,11798,10759
6041,"Fillmore, California",72958,13643,27489
6042,"Windsor, New York",72939,6421,12069
6043,"Lewisburg, Tennessee",72930,10413,10547
6044,"Powell County, Montana",72915,7180,11516
6045,"Chautauqua, New York",72892,4666,14223
6046,"Onalaska, Wisconsin",72882,14839,15444
6047,"Brandon, Mississippi",72879,16436,15178
6048,"Baldwinsville, New York",72873,7053,18527
6049,"Bellefontaine Neighbors, Missouri",72869,11271,11155
6050,"Cayce, South Carolina",72809,12150,11615
6051,"Ketchikan Gateway Borough, Alaska",72802,14070,9118
6052,"Downingtown, Pennsylvania",72776,7589,19826
6053,"South Williamsport, Pennsylvania",72751,6412,15150
6054,"Randolph, Vermont",72700,4853,16041
6055,"Salem, Illinois",72697,7909,11005
6056,"Mono County, California",72691,12853,57532
6057,"Hampden, Maine",72666,6327,16599
6058,"Candor, New York",72648,5314,8648
6059,"Wytheville, Virginia",72625,7804,18897
6060,"Hubbard, Ohio",72584,8284,12405
6061,"Ulysses, New York",72582,4775,11530
6062,"Hooksett, New Hampshire",72541,11721,16593
6063,"Coalinga, California",72528,11668,22819
6064,"Ballston Spa, New York",72491,5556,17525
6065,"Mount Pleasant, Pennsylvania",72471,4728,13068
6066,"Evanston, Wyoming",72461,11507,20679
6067,"Blanco County, Texas",72455,8418,14754
6068,"Westmoreland, New York",72453,6213,8686
6069,"Nelsonville, Ohio",72423,5230,22753
6070,"Macedon, New York",72400,8688,15915
6071,"St. Bernard, Ohio",72371,4924,13317
6072,"Fort Ann, New York",72341,6417,21628
6073,"Newmarket, New Hampshire",72340,8027,18595
6074,"Port Townsend, Washington",72326,8334,32707
6075,"Oxford, Alabama",72324,14592,15406
6076,"Eaton, Ohio",72317,8133,16027
6077,"Camas, Washington",72241,12534,16987
6078,"Owasso, Oklahoma",72210,18502,18753
6079,"Plattekill (town), New York",72209,9892,6687
6080,"Chicago Ridge, Illinois",72192,14127,20192
6081,"Cynthiana, Kentucky",72170,6258,15940
6082,"Norwich (town), New York",72166,3836,10555
6083,"Adams, New York",72148,4782,12082
6084,"Chester, Orange County, New York",72122,12140,11196
6085,"Lititz, Pennsylvania",72104,9029,23036
6086,"West Columbia, South Carolina",72088,13064,9906
6087,"Baylor County, Texas",72085,4093,9698
6088,"La Palma, California",72076,15408,16054
6089,"Raymondville, Texas",71998,9733,15050
6090,"Aberdeen, Mississippi",71989,6415,16119
6091,"Green River, Wyoming",71920,11808,21022
6092,"Paris, Maine",71835,4793,16058
6093,"Demopolis, Alabama",71832,7540,52266
6094,"Spring Valley, Illinois",71775,5398,19091
6095,"Wyoming, Ohio",71699,8261,13855
6096,"Dunbar, West Virginia",71687,8154,11823
6097,"Quincy, Florida",71610,6982,28578
6098,"Malta, New York",71567,13005,17240
6099,"South Boston, Virginia",71558,8491,9275
6100,"Vernon Hills, Illinois",71558,20120,17668
6101,"St. Johns, Michigan",71553,7458,12935
6102,"Elberton, Georgia",71542,4743,24177
6103,"Washakie County, Wyoming",71483,8289,11387
6104,"Galena Park, Texas",71470,10592,20809
6105,"Waterloo, New York (village)",71412,5111,18114
6106,"Lafayette County, Florida",71409,7022,12526
6107,"Hartselle, Alabama",71374,12019,11281
6108,"Jackson, Missouri",71349,11947,14952
6109,"Thomaston, Connecticut",71347,7503,11852
6110,"New Cumberland, Pennsylvania",71329,7349,8390
6111,"Eaton, New York",71304,4826,10900
6112,"Malverne, New York",71283,8934,15541
6113,"Oconto, Wisconsin",71244,4708,15194
6114,"Miner County, South Dakota",71229,2884,15811
6115,"New Fairfield, Connecticut",71193,13953,13824
6116,"Topsham, Maine",71155,9100,15268
6117,"Custer County, South Dakota",71146,7275,12021
6118,"Jessup, Pennsylvania",71144,4718,6879
6119,"Scottdale, Pennsylvania",71144,4772,13654
6120,"Wellsville (village), New York",71112,5171,16457
6121,"Brownfield, Texas",71102,9488,19826
6122,"Shawano, Wisconsin",71087,8298,18399
6123,"West View, Pennsylvania",71068,7277,11453
6124,"Lake Zurich, Illinois",71067,18104,18247
6125,"Granby, Connecticut",71059,10347,15613
6126,"Peru, New York",71048,6370,12568
6127,"Harriman, Tennessee",71016,6744,18367
6128,"Wilson (town), New York",70988,5840,10720
6129,"Louisville, Colorado",70948,18937,23040
6130,"Bay St. Louis, Mississippi",70935,8209,12160
6131,"Navasota, Texas",70925,6789,24791
6132,"East Rochester, New York",70903,6650,16791
6133,"Germantown, Wisconsin",70896,18260,9782
6134,"Keyser, West Virginia",70860,5303,16627
6135,"Bardstown, Kentucky",70829,10374,22040
6136,"Hoopeston, Illinois",70806,5965,13519
6137,"Bethel Census Area, Alaska",70790,16006,9076
6138,"Lewisburg, Pennsylvania",70775,5620,19044
6139,"Media, Pennsylvania",70760,5533,41893
6140,"Chariton, Iowa",70733,4321,15217
6141,"Marion, Virginia",70718,6339,13469
6142,"Tecumseh, Michigan",70703,8574,21895
6143,"Upper Sandusky, Ohio",70657,6533,17060
6144,"Hickory Hills, Illinois",70657,13926,11420
6145,"Waverly, Tioga County, New York",70655,4607,33138
6146,"Seven Hills, Ohio",70569,12080,12654
6147,"Jefferson Hills, Pennsylvania",70510,9666,37635
6148,"Milton, Vermont",70508,9479,20196
6149,"Gonzales, Texas",70492,7202,24536
6150,"Cairo, Georgia",70444,9239,19410
6151,"Lamar, Colorado",70444,8869,20258
6152,"Granby, New York",70428,7009,9255
6153,"Blythe, California",70361,12155,30561
6154,"Lisbon, New York",70337,4047,11483
6155,"Brentwood, Missouri",70311,7693,13550
6156,"Palmetto, Florida",70309,12571,12760
6157,"Franklin, Kentucky",70279,7996,14879
6158,"Towner County, North Dakota",70254,2876,12255
6159,"Sharonville, Ohio",70247,13804,13270
6160,"Hudson, Ohio",70231,22439,25244
6161,"Vermilion, Ohio",70211,10927,19930
6162,"Buxton, Maine",70156,7452,18195
6163,"Commerce, Texas",70156,7669,25865
6164,"Berlin, Wisconsin",70153,5305,16136
6165,"Somerset, Pennsylvania",70131,6762,13457
6166,"Erwin, New York",70091,7227,7950
6167,"Honesdale, Pennsylvania",70067,4874,25076
6168,"Tupper Lake (town), New York",70015,6137,13277
6169,"Guadalupe County, New Mexico",69985,4680,12015
6170,"Corinth, New York",69982,5985,16261
6171,"Mexia, Texas",69972,6563,16350
6172,"Kingston (town), New York",69946,912,11127
6173,"Chester, Illinois",69943,5185,26172
6174,"Larksville, Pennsylvania",69940,4694,7075
6175,"Greeley County, Nebraska",69930,2714,9309
6176,"Amherst, New Hampshire",69925,10769,19046
6177,"Mount Sterling, Kentucky",69907,5876,13417
6178,"Wake Forest, North Carolina",69873,12588,23261
6179,"Park County, Colorado",69869,14523,11902
6180,"Somers, Connecticut",69845,10417,13912
6181,"Martin, Tennessee",69781,10515,8873
6182,"Grand Rapids, Minnesota",69726,7764,25692
6183,"Jesup, Georgia",69705,9279,14523
6184,"Saranac Lake, New York",69690,5041,38087
6185,"Barrington, Illinois",69632,10168,81148
6186,"Boundary County, Idaho",69568,9871,18653
6187,"Brecksville, Ohio",69549,13382,34720
6188,"Winder, Georgia",69529,10201,25424
6189,"Windsor, Vermont",69524,3756,19970
6190,"Montmorency County, Michigan",69523,10315,19865
6191,"Alamosa, Colorado",69513,7960,24309
6192,"Murray, New York",69495,4892,8483
6193,"Dickson, Tennessee",69474,12244,10479
6194,"Twinsburg, Ohio",69441,17006,18838
6195,"Duryea, Pennsylvania",69421,4634,18743
6196,"Hudson, Wisconsin",69411,8775,16688
6197,"Atkinson County, Georgia",69410,7609,11516
6198,"Redding, Connecticut",69334,8270,49052
6199,"Skamania County, Washington",69331,9872,14615
6200,"Stuart, Florida",69292,14633,24487
6201,"Attalla, Alabama",69282,6592,13624
6202,"Doral, Florida",69268,20438,38429
6203,"Dannemora (town), New York",69258,5149,13870
6204,"Pembroke, New Hampshire",69200,6897,13592
6205,"Highland, Illinois",69184,8438,16701
6206,"Larkspur, California",69181,12014,19910
6207,"Howell, Michigan",69174,9232,20125
6208,"Rawlins County, Kansas",69173,2966,13925
6209,"Matthews, North Carolina",69155,22127,9335
6210,"Hancock, Michigan",69153,4323,26321
6211,"Port Clinton, Ohio",69134,6391,14969
6212,"Russellville, Alabama",69121,8971,16191
6213,"Center Line, Michigan",69111,8531,19428
6214,"Lead, South Dakota",69102,3027,26314
6215,"Rochester, Michigan",69084,10467,25016
6216,"New Port Richey, Florida",69076,16117,15290
6217,"Algona, Iowa",69038,5560,15873
6218,"Robinson, Illinois",69038,6822,12049
6219,"Elk River, Minnesota",69021,16447,26525
6220,"Pflugerville, Texas",69009,16335,33082
6221,"Houghton, Michigan",69002,7010,45191
6222,"East Haddam, Connecticut",68993,8333,19075
6223,"Tomah, Wisconsin",68982,8419,18698
6224,"Wilton Manors, Florida",68963,12697,23849
6225,"North Ogden, Utah",68905,15026,9488
6226,"Hartsville, South Carolina",68891,7556,28096
6227,"New London, Wisconsin",68878,7085,18619
6228,"Wahpeton, North Dakota",68841,8586,23312
6229,"Old Saybrook, Connecticut",68833,10367,20647
6230,"Princeton, Kentucky",68809,6536,23559
6231,"Harrietstown, New York",68795,5575,12986
6232,"Highland County, Virginia",68756,2536,72804
6233,"Edgewater, Volusia County, Florida",68668,18668,8806
6234,"Cedarburg, Wisconsin",68665,10908,19073
6235,"Hercules, California",68632,19488,40628
6236,"Fairview Heights, Illinois",68624,15034,9545
6237,"Avon, Ohio",68610,11446,12898
6238,"Pleasant Valley (town), New York",68579,9066,11159
6239,"Geneseo, Illinois",68569,6480,31343
6240,"Dansville, Livingston County, New York",68557,4832,14904
6241,"Carrboro, North Carolina",68510,16782,33319
6242,"Baca County, Colorado",68480,4517,11101
6243,"Crystal City, Texas",68466,7190,21678
6244,"Bangor, Pennsylvania",68447,5319,9639
6245,"Beaver County, Utah",68433,6005,9504
6246,"Harker Heights, Texas",68410,17308,10447
6247,"Wildwood, Missouri",68401,32884,13021
6248,"Parkland, Washington",68290,20882,8140
6249,"Culpeper, Virginia",68257,9664,23296
6250,"Susanville, California",68252,13541,27124
6251,"Brownsburg, Indiana",68248,14520,20169
6252,"Ridgway, Pennsylvania",68248,4591,15103
6253,"Waterbury, Vermont",68247,4915,15788
6254,"Commerce, California",68225,12568,24684
6255,"Wilton, New York",68201,12511,8484
6256,"Beaver, Pennsylvania",68187,4775,14682
6257,"Harahan, Louisiana",68153,9885,12016
6258,"Hillsborough, California",68117,10825,23022
6259,"Sheridan County, Montana",68076,4105,11329
6260,"Covington, Louisiana",68075,8483,16878
6261,"Crockett, Texas",68072,7141,15833
6262,"Trenton, New York",68071,4670,9375
6263,"Duluth, Georgia",68042,22122,23288
6264,"Webster County, Georgia",67991,2390,12987
6265,"Siloam Springs, Arkansas",67985,10843,23531
6266,"Dallam County, Texas",67982,6222,10316
6267,"Schiller Park, Illinois",67976,11850,9374
6268,"Kane, Pennsylvania",67963,4126,17905
6269,"Lawrenceburg, Indiana",67920,4685,15353
6270,"Woodbury, Connecticut",67844,9198,19794
6271,"Wheeler County, Georgia",67809,6179,11416
6272,"Maquoketa, Iowa",67791,6112,22195
6273,"Price, Utah",67789,8402,13794
6274,"Savage, Minnesota",67772,21115,21237
6275,"Vandalia, Illinois",67757,6975,16996
6276,"East Aurora, New York",67754,6673,19921
6277,"Madison, Illinois",67696,4545,10239
6278,"Smithfield, North Carolina",67678,11510,9566
6279,"Worth, Illinois",67656,11047,14616
6280,"Baker, Louisiana",67652,13793,15634
6281,"Duanesburg, New York",67641,5808,20828
6282,"Moore County, Tennessee",67638,5740,9974
6283,"Edwards County, Kansas",67632,3449,13700
6284,"Lemont, Illinois",67622,13098,20859
6285,"Linton, Indiana",67614,5774,15813
6286,"New Carrollton, Maryland",67613,12589,12512
6287,"Lewistown, Montana",67584,5813,24780
6288,"Dixon, California",67560,16103,20261
6289,"Steger, Illinois",67530,9682,21889
6290,"West Haverstraw, New York",67514,10295,11428
6291,"Delhi, New York",67497,4629,11503
6292,"Johnson County, Wyoming",67479,7075,13606
6293,"Fountain, Colorado",67454,15197,19882
6294,"Henryetta, Oklahoma",67454,6096,10622
6295,"Washington, New York",67445,4742,9818
6296,"Frackville, Pennsylvania",67412,4361,15825
6297,"Crest Hill, Illinois",67408,13329,11571
6298,"Chanhassen, Minnesota",67397,20321,21214
6299,"Alexandria, New York",67379,4097,12940
6300,"Perry, Georgia",67345,9602,18178
6301,"Carson County, Texas",67336,6516,15573
6302,"Kodiak Island Borough, Alaska",67336,13913,9022
6303,"Jersey Shore, Pennsylvania",67312,4482,18756
6304,"Avalon, Pennsylvania",67304,5294,12463
6305,"East Grand Forks, Minnesota",67279,7501,17071
6306,"Campbellsville, Kentucky",67183,10498,17672
6307,"Healdsburg, California",67180,10722,22359
6308,"Perkins County, South Dakota",67142,3363,11772
6309,"Lake in the Hills, Illinois",67120,23152,34439
6310,"Prairie du Chien, Wisconsin",67119,6018,29859
6311,"Placerville, California",67064,9610,31884
6312,"Grandview Heights, Ohio",67042,6695,12378
6313,"Mounds View, Minnesota",67042,12738,11168
6314,"Redmond, Oregon",66999,13481,24801
6315,"Loveland, Ohio",66981,11677,91363
6316,"Holly Springs, Mississippi",66977,7957,22697
6317,"Patterson, New York",66976,11306,13412
6318,"Aurora, Missouri",66946,7020,14137
6319,"Standish, Maine",66933,9285,16105
6320,"Louisiana, Missouri",66928,3863,13461
6321,"Todd County, South Dakota",66927,9050,12555
6322,"Farmington, Michigan",66881,10423,16082
6323,"Columbia City, Indiana",66850,7077,13883
6324,"Lincolnton, North Carolina",66838,9965,18946
6325,"Grayslake, Illinois",66807,18506,21032
6326,"Tarrant, Alabama",66737,7022,10819
6327,"Aurora, Indiana",66728,3965,15929
6328,"Monett, Missouri",66704,7396,15265
6329,"Colleyville, Texas",66700,19636,19003
6330,"Scriba, New York",66666,7331,8414
6331,"Carpinteria, California",66660,14194,27021
6332,"Alexandria, Indiana",66659,6260,12525
6333,"Treutlen County, Georgia",66647,6854,11695
6334,"Dix, New York",66645,4197,9704
6335,"Florence, Arizona",66640,17054,22638
6336,"Boonville, Indiana",66620,6834,16429
6337,"Nazareth, Pennsylvania",66607,6023,21886
6338,"South Berwick, Maine",66537,6671,18552
6339,"Carlinville, Illinois",66537,5685,14859
6340,"Yoakum, Texas",66526,5731,9849
6341,"Bailey County, Texas",66497,6594,8781
6342,"Camp Hill, Pennsylvania",66470,7636,14593
6343,"South San Jose Hills, California",66467,17814,10362
6344,"Dunn County, North Dakota",66456,3600,13164
6345,"Macon, Missouri",66450,5538,12306
6346,"Owego (village), New York",66442,3911,10362
6347,"Clarinda, Iowa",66439,5690,20705
6348,"Oxford, New York",66436,3992,11813
6349,"New Castle, Delaware",66430,4862,22923
6350,"Weatherford, Oklahoma",66428,9859,17094
6351,"Matteson, Illinois",66419,12928,15824
6352,"The Village, Oklahoma",66366,10157,8119
6353,"Lincoln County, Colorado",66338,6087,10581
6354,"Grand County, Colorado",66331,12442,11247
6355,"Avocado Heights, California",66322,15148,14170
6356,"Childress, Texas",66321,6778,25027
6357,"Winthrop, Maine",66314,6232,26437
6358,"Douglas County, South Dakota",66294,3458,11353
6359,"Abbeville, South Carolina",66255,5840,27391
6360,"Augusta, Kansas",66205,8423,17611
6361,"Post Falls, Idaho",66202,17247,21673
6362,"Winchester, Indiana",66170,5037,11444
6363,"Miami Shores, Florida",66145,10380,21581
6364,"Andrews, Texas",66144,9652,19953
6365,"Bucksport, Maine",66122,4908,18875
6366,"Ontario, Oregon",66070,10985,21537
6367,"Crook County, Wyoming",66062,5887,14980
6368,"Woodstock, Connecticut",66043,7221,18538
6369,"Atmore, Alabama",65961,7676,20064
6370,"Hallowell, Maine",65900,2467,22679
6371,"Allendale Charter Township, Michigan",65865,13042,18757
6372,"Milford, Delaware",65847,6732,14635
6373,"Streetsboro, Ohio",65830,12311,17161
6374,"Crestline, Ohio",65829,5088,15048
6375,"Pondera County, Montana",65818,6424,10715
6376,"Bedford Heights, Ohio",65809,11375,13794
6377,"Ghent, New York",65803,5272,11177
6378,"Issaquah, Washington",65800,11212,38056
6379,"Greenfield, New York",65731,7362,9681
6380,"Wood Dale, Illinois",65708,13535,16360
6381,"Walden, New York",65703,6164,26528
6382,"Chazy, New York",65681,4179,17031
6383,"Hornellsville, New York",65680,4041,9376
6384,"Lindsay, California",65667,10297,13482
6385,"Brandon, Vermont",65641,3917,14572
6386,"Middletown, Delaware County, New York",65641,4051,9607
6387,"Kosciusko, Mississippi",65637,7372,10835
6388,"Lyndon, Vermont",65602,5448,14384
6389,"Sewickley, Pennsylvania",65600,3902,16159
6390,"Bridgeport, Pennsylvania",65559,4371,14015
6391,"West Hazleton, Pennsylvania",65508,3542,7309
6392,"Ville Platte, Louisiana",65507,8145,15371
6393,"Clear Lake, Iowa",65498,8161,21339
6394,"Ashwaubenon, Wisconsin",65459,17634,13981
6395,"Pelham, New Hampshire",65442,10914,14099
6396,"Chehalis, Washington",65421,7057,15289
6397,"Farmington, New Hampshire",65404,5774,18861
6398,"St. Helens, Oregon",65394,10019,18574
6399,"South Haven, Michigan",65393,5021,22213
6400,"Williston Park, New York",65371,7261,9996
6401,"Leeds, Alabama",65370,10455,15335
6402,"Detroit Lakes, Minnesota",65368,7348,31635
6403,"Buford, Georgia",65337,10668,48540
6404,"Williamson, West Virginia",65335,3414,15279
6405,"Boulder City, Nevada",65331,14966,30997
6406,"Papillion, Nebraska",65312,16363,15836
6407,"Covington, Tennessee",65309,8463,17975
6408,"Freeland, Pennsylvania",65291,3643,18963
6409,"Millinocket, Maine",65266,5203,23799
6410,"Wolcott, New York",65252,4692,11807
6411,"Fort Fairfield, Maine",65241,3579,13170
6412,"Ridgeland, Mississippi",65218,20173,13409
6413,"Portland, Texas",65215,14827,10603
6414,"Saguache County, Colorado",65207,5917,10866
6415,"Glenolden, Pennsylvania",65199,7476,9892
6416,"Hermiston, Oregon",65151,13154,25389
6417,"Beverly Hills, Michigan",65143,10437,13229
6418,"Jacinto City, Texas",65117,10302,24748
6419,"Gilchrist County, Florida",65115,14437,15955
6420,"Wharton, Texas",65106,9237,16915
6421,"Thomaston, Maine",65077,3748,18984
6422,Fort Lewis,65074,22224,29778
6423,"Colesville, New York",65072,5441,10346
6424,"Clifton Forge, Virginia",65045,4289,9395
6425,"Boston, New York",65021,7897,11706
6426,"Hancock, New York",64999,3450,12076
6427,"Hugo, Oklahoma",64983,5536,18222
6428,"Iowa Falls, Iowa",64966,5238,12474
6429,"Hitchcock County, Nebraska",64948,3111,8746
6430,"Canton (village), New York",64943,5882,11984
6431,"Fairbury, Nebraska",64921,4262,32699
6432,"Mayfield, New York",64900,6427,12371
6433,"Columbia, Mississippi",64886,6603,14927
6434,"Eastport, Maine",64878,1640,25865
6435,"Peterborough, New Hampshire",64851,5883,35023
6436,"Rockingham, North Carolina",64837,9672,10920
6437,"Chesterton, Indiana",64810,10488,19962
6438,"Universal City, Texas",64769,14849,8925
6439,"Twentynine Palms, California",64765,14764,21937
6440,"Hamlin, New York",64704,9355,10741
6441,"Hapeville, Georgia",64698,6180,14328
6442,"Tucumcari, New Mexico",64679,5989,28727
6443,"Ramsey, Minnesota",64679,18510,10738
6444,"Putnam Valley, New York",64664,10686,11082
6445,"Haverhill, New Hampshire",64662,4416,16317
6446,"Punta Gorda, Florida",64631,14344,27009
6447,"Donley County, Texas",64622,3828,10099
6448,"Stillwater County, Montana",64597,8195,11557
6449,"Osceola, Arkansas",64581,8875,23478
6450,"Olive Branch, Mississippi",64526,21054,17335
6451,"Lovington, New Mexico",64526,9471,7812
6452,"Bronxville, New York",64524,6543,30005
6453,"Pawling (town), New York",64523,7521,18479
6454,"Ladue, Missouri",64521,8645,27034
6455,"Tipton, Indiana",64519,5251,30438
6456,"DeWitt Charter Township, Michigan",64508,12143,11159
6457,"Burke County, North Dakota",64506,2242,13100
6458,"Walworth, New York",64465,8402,11169
6459,"Richland Township, Allegheny County, Pennsylvania",64457,9231,9034
6460,"La Vergne, Tennessee",64452,18687,11009
6461,"Pickett County, Tennessee",64448,4945,10091
6462,"Franklin, Virginia",64439,8346,21757
6463,"Simpsonville, South Carolina",64434,14352,13259
6464,"Greenfield, Ohio",64368,4906,18505
6465,"St. Martinville, Louisiana",64367,6989,21245
6466,"Eveleth, Minnesota",64367,3865,22759
6467,"Grand Ledge, Michigan",64362,7813,17605
6468,"Desert Hot Springs, California",64339,16582,30278
6469,"Clinton, North Carolina",64337,8600,11108
6470,"Riverton, Wyoming",64325,9310,14837
6471,"White Oak, Pennsylvania",64277,8437,10571
6472,"Barnesville, Ohio",64266,4225,14555
6473,"Sierra County, California",64233,3555,51409
6474,"Fairport, New York",64201,5740,25983
6475,"Ludlow, Kentucky",64151,4409,14609
6476,"Monticello, Arkansas",64119,9146,13925
6477,"Española, New Mexico",64108,9504,35501
6478,"Delavan, Wisconsin",64083,7956,14631
6479,"Riverbank, California",64076,15826,16777
6480,"Geneva, Ohio",64064,6595,20208
6481,"Ridley Park, Pennsylvania",64002,7196,17554
6482,"Palm Beach, Florida",63975,10468,29081
6483,"New Haven, Indiana",63960,12406,18164
6484,"Southern Pines, North Carolina",63959,10918,11697
6485,"Lexington, Nebraska",63947,10011,12421
6486,"Louisville, Ohio",63930,8904,25166
6487,"Galt, California",63923,19472,17581
6488,"Dyer, Indiana",63890,13895,15589
6489,"Berea, Kentucky",63889,9851,18501
6490,"Plymouth, Wisconsin",63876,7781,32595
6491,"Mahnomen County, Minnesota",63873,5190,10238
6492,"Nassau (town), New York",63859,4818,9280
6493,"Sebring, Florida",63841,9667,25591
6494,"Holly Hill, Florida",63827,12119,27296
6495,"Falls City, Nebraska",63816,4671,16990
6496,"South Elgin, Illinois",63775,16100,10530
6497,"Hurley, New York",63765,6564,14243
6498,"Morrilton, Arkansas",63723,6550,14967
6499,"Little Chute, Wisconsin",63700,10476,32171
6500,"Guymon, Oklahoma",63689,10472,22325
6501,"Alcoa, Tennessee",63686,7734,22646
6502,"Palmyra, Pennsylvania",63639,7096,25183
6503,"Lebanon, Kentucky",63594,5718,17498
6504,"Schoharie, New York",63555,3299,15799
6505,"Farmingdale, New York",63552,8399,19563
